dataset_name,n,scratch_mae,transfer_mae,mae_improvement_s,tl_better_mae
FEM_short_73,73,99.439,67.499,31.939999999999998,True
UniToyama_Atlantis_143,143,72.114,57.395,14.719000000000001,True
FEM_long_412,412,117.154,88.493,28.661,True
Eawag_XBridgeC18_364,364,58.512,47.218,11.293999999999997,True
LIFE_old_194,194,11.604,8.105,3.4989999999999988,True
MTBLS87_147,147,69.444,69.01,0.4339999999999975,True
LIFE_new_184,184,14.701,13.341,1.3600000000000012,True
Cao_HILIC_116,116,67.761,71.592,-3.831000000000003,False
IPB_Halle_82,82,13.051,13.34,-0.2889999999999997,False
FEM_lipids_72,72,55.761,51.907,3.8540000000000063,True
